id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,rating,bedrooms,beds,baths
28815149,Rental unit in Brooklyn,1029021,Jameelah,Brooklyn,Bedford-Stuyvesant,40.69131,-73.9309,Private room,42.0,30,27,4.74,1,1,1
970497589664733128,Rental unit in Brooklyn,411752587,Letechia,Brooklyn,Canarsie,40.6420662,-73.9006057,Entire home/apt,163.0,30,9,5.0,3,3,1
756510969546896846,Condo in New York,433182193,Jessica,Manhattan,Financial District,40.705554280232185,-74.00713683509302,Entire home/apt,246.0,30,3,5.0,1,1,1
990208,Rental unit in Brooklyn,1568269,Skylar,Brooklyn,Greenpoint,40.73405,-73.95406,Entire home/apt,138.0,30,37,4.64,1,1,1
51197475,Rental unit in Queens,34913162,Annabel,Queens,East Elmhurst,40.76065,-73.88469,Entire home/apt,121.0,30,61,4.97,Studio,1,1
766154411511432669,Rental unit in Brooklyn,463464923,Manuel,Brooklyn,Bedford-Stuyvesant,40.69022,-73.93195,Private room,45.0,30,51,4.88,1,1,2
877602226028132663,Rental unit in Brooklyn,511753971,Michael,Brooklyn,Boerum Hill,40.68515,-73.9874,Entire home/apt,250.0,30,30,4.90,1,2,1
711702296138992770,Rental unit in Brooklyn,7136700,Michelle,Brooklyn,Crown Heights,40.67287,-73.94687,Private room,75.0,30,30,4.57,1,1,1
600516115073736856,Condo in Brooklyn,401709949,Daniela & James,Brooklyn,Bushwick,40.69988,-73.93882,Private room,32.0,30,1,No rating,1,2,2
10546254,Home in Brooklyn,54378184,Eej,Brooklyn,Fort Greene,40.68594,-73.9694,Entire home/apt,155.0,30,40,4.85,Studio,1,1
54242854,Rental unit in Brooklyn,439505802,Conrad,Brooklyn,Bushwick,40.69837,-73.91916,Private room,300.0,30,3,5.0,1,1,1
51101034,Rental unit in Brooklyn,37046945,SoCo Property,Brooklyn,Fort Greene,40.69017,-73.97979,Entire home/apt,130.0,30,24,4.83,Studio,1,1
26991656,Serviced apartment in New York City,176950173,Aka,Manhattan,Midtown,40.76469,-73.97665,Entire home/apt,645.0,7,1,No rating,1,1,1
895648087137862595,Rental unit in Brooklyn,172703794,Indigo,Brooklyn,Bushwick,40.69266,-73.92699,Private room,53.0,30,2,No rating,1,1,1
574069389069400131,Rental unit in New York,2285974,Cristiana,Manhattan,Midtown,40.76216,-73.96964,Entire home/apt,253.0,30,9,4.89,1,1,1
40586837,Guest suite in Brooklyn,290908,Claudia,Brooklyn,Prospect-Lefferts Gardens,40.66207,-73.95604,Entire home/apt,165.0,30,94,4.85,2,3,1
617348066884967902,Rental unit in Brooklyn,4023094,Simon,Brooklyn,Williamsburg,40.71272,-73.96416,Entire home/apt,249.0,30,12,4.58,2,2,1
